CLOS_YM,JHNT_MBN,JHNT_CTN,JHCR_DE,JHNT_CLOS_DE,FRFT_AFTR_JHNT_REQR_DYCT,JHNT_RQUT_CHNL_SECD,INFO_OTPB_GRAD_CD,MDTN_HOPE_GRD_CD,IDIF_AOFR_YN,EMAIL_RCYN,EMPL_STLE_CD,DSPT_LABR_YN,COMM_WAGE_TYCD,HOPE_WAGE_SM_AMT,AFIV_RDJT_PSBL_YN,HOPE_JSCD1,HOPE_JSCD2,HOPE_JSCD3,HPAR_CD1,HPAR_CD2,HPAR_CD3,CYC1,CARR_MYCT1,CYC2,CARR_MYCT2,CYC3,CARR_MYCT3,ACCR_STCD,ACCR_CD,DRV_PSBL_YN,AGE,SAEIL_CNTC_AGRE_YN,SHRS_IDIF_AOFR_YN,SULC_IDIF_AOFR_YN,IDIF_IQRY_AGRE_YN,DLY_LABR_HOPE_YN,RQAG_HOPE_YN,SHSY_YN,MDTN_HOPE_YN,JHNT_PPOS_CD,SXDS_CD,SMS_RCYN,EMAIL_OTPB_YN,MPNO_OTPB_YN,MAJR_CD1,BFR_WTM6_JHCR_CT,BFR_UEPS_RECP_CT,UEPS_RECP_YN,BFR_EJAP_CT,SFID_WRTN_AFTR_ELPS_DYCT,SFID_IEM_NUM,SFID_LTTR_NUM,BFR_PSIS_ELPS_DYCT,BFR_RLTY_SNSC,BFR_IVTG_SNSC,BFR_ARTY_SNSC,BFR_SCTY_SNSC,BFR_EPTY_SNSC,BFR_CSTP_SNSC,BFR_INTS_CD2,AREA_CD,HPAR_CSCY_SCOR,BFR_OCTR_YN,BFR_OCTR_CT,KECO_CD1,OCTR_HOPE_JSFC_CSCY_SCOR1,OCTR_HOPE_JSFC_CSCY_SCOR2,IPS_IRDS_NMPR,JBHT_NMPR,RCIT_NMPR,JO_DRNG_RATE,AVG_OTIO_MYAV_RMNT_AMT,AVG_HOPE_WAGE_SM_AMT,CRQF_CT,ETL_DT,MAKE_DT,ACQ_180_YN,ACQ_DT,MATCH_L_YN,MATCH_M_YN,MATCH_S_YN,LAST_JSCD,EMPN_DE,LAST_FRFT_DE
22-Jul,3029086502262,7067002474198,2022-10-06,2022-10-07,9,"온라인,오프라인",Y,필요,Y,Y,기간제근로계약,Y,상용,99,N,242,509,585,36020,68843,98823,99,70,65,84,77,21,중퇴,4년제 대학,Y,15,Y,N,N,N,N,N,N,Y,직업훈련,남,N,Y,N,237,94,93,12,89,191,2,66,301,76,6,30,69,98,97,IS,86480,시도 일치,N,28,y,중분류 일치,대분류 일치,6,27,59,0.109,39,11,47,2025-02-20 3:50,2021-02-20 13:51,1,2024-01-16 13:33,0,1,0,916,2025-01-29,2020-02-24
25-Sep,9101760495288,8286707432733,2022-10-18,2021-01-27,68,"온라인""대면",N,필요,N,Y,기간의 정함이 없는 근로계약,N,일용,81,Y,201,308,912,73245,69435,13745,94,82,44,75,89,86,재학,4년제 대학,Y,48,Y,Y,N,N,N,N,N,N,직업훈련,남,Y,Y,N,817,29,20,17,70,279,83,14,71,7,34,73,21,76,56,IS,26975,시군구 일치,N,11,8153,대분류 일치,소분류 일치,39,65,48,0.383,65,35,79,2024-04-19 18:39,2022-09-17 14:31,1,2023-01-21 10:18,1,0,0,808,2025-09-07,2020-03-13
25-Sep,3905225049524,5835541269706,2022-03-24,2025-02-25,47,온라인,N,불필요,N,Y,기간의 정함이 없는 근로계약,N,상용,56,N,561,688,152,13274,53756,17254,4,63,13,64,2,29,중퇴,(2/4년제) 대학,Y,77,N,Y,Y,Y,Y,N,Y,Y,취업알선,여,Y,N,N,878,69,89,30,64,362,3,6,333,93,76,20,70,81,1,CA,97640,시군구 일치,Y,43,3129,소분류 일치,소분류 일치,7,71,6,0.849,62,49,32,2023-01-06 8:20,2024-03-14 7:24,1,2024-03-12 6:44,1,0,0,495,2024-08-03,2021-02-07
22-Mar,3966103307650,7171580824320,2025-05-09,2024-01-26,84,고용24,N,불필요,Y,Y,기간제근로계약,Y,일용,16,N,164,525,531,17379,12003,61918,83,61,66,4,14,41,중퇴,고등학교,Y,90,N,Y,Y,Y,N,Y,Y,Y,구직급여,여,N,N,Y,498,61,97,63,55,27,6,37,45,11,44,96,83,37,8,CA,31794,시도 일치,N,88,4771,소분류 일치,대분류 일치,11,5,2,0.438,78,44,80,2023-03-14 9:04,2022-01-22 6:09,0,2023-04-07 17:50,1,1,1,857,2024-05-11,2021-03-24
25-Jun,7418294557610,1901091971474,2021-03-01,2022-05-23,87,오프라인,N,불필요,Y,N,기간의 정함이 없는 근로계약,Y,상용,37,Y,632,364,577,95408,46938,49694,96,32,68,74,21,55,재학,고등학교,N,39,Y,N,N,N,N,N,N,Y,구직급여,여,N,N,N,271,52,21,94,33,301,56,83,238,28,0,44,88,97,18,CA,65447,시군구 일치,N,26,1038,소분류 일치,소분류 일치,49,24,90,0.693,40,51,41,2022-12-05 20:55,2022-06-23 1:56,0,2024-11-14 18:35,1,1,1,235,2025-08-29,2024-05-13
24-Oct,7780841496982,3734886509281,2022-08-22,2022-03-26,78,고용24,Y,불필요,N,N,파견근로계약,Y,상용,1,N,569,526,968,94456,93517,28583,9,42,67,22,90,43,중퇴,4년제 대학,N,74,N,N,N,N,Y,Y,Y,N,구직급여,남,Y,Y,N,335,25,48,3,52,2,87,52,304,85,6,58,69,84,55,CA,48705,시군구 일치,N,32,y,중분류 일치,대분류 일치,84,41,24,0.681,13,73,38,2024-04-15 19:28,2021-07-05 1:44,0,2021-11-22 5:12,1,1,0,514,2024-03-05,2022-11-03
23-Sep,9719018214331,7227521460324,2024-06-22,2025-09-10,2,고용24,N,필요,N,Y,파견근로계약,N,일용,50,Y,781,922,501,75900,16109,78826,47,86,35,82,48,95,졸업,고등학교,Y,95,Y,N,N,Y,Y,Y,N,Y,직업훈련,남,Y,N,N,514,32,46,47,62,53,49,77,153,5,94,64,63,4,67,IS,94731,시도 일치,Y,54,9272,중분류 일치,소분류 일치,31,80,85,0.387,85,29,27,2023-08-22 8:07,2024-01-29 20:13,1,2022-12-04 13:49,1,1,1,648,2020-09-27,2021-03-06
24-Oct,9597684514799,5261657241320,2022-09-11,2022-01-25,97,고용24,Y,불필요,N,N,기간제근로계약,N,상용,18,Y,944,913,421,38004,13491,39046,23,90,97,46,26,1,재학,고등학교,Y,49,N,N,N,N,N,Y,N,Y,취업알선,여,Y,N,N,528,76,82,58,41,257,86,27,70,54,2,82,99,96,40,IS,45433,시도 일치,Y,80,7126,대분류 일치,대분류 일치,89,57,75,0.547,70,65,18,2021-03-24 8:43,2020-04-13 5:31,0,2023-02-25 11:42,0,1,1,651,2023-07-24,2022-04-14
24-May,9379669513277,7358900728146,2024-12-08,2020-12-06,82,오프라인,Y,불필요,Y,N,파견근로계약,Y,상용,59,Y,509,660,796,13911,88618,98235,15,99,58,39,65,88,재학,4년제 대학,N,50,Y,Y,N,N,N,N,Y,N,직업훈련,남,N,Y,Y,749,35,19,34,50,130,96,27,352,69,46,53,41,8,41,IS,79975,시도 일치,Y,39,2142,대분류 일치,소분류 일치,52,29,29,0.711,66,66,78,2023-05-29 4:37,2021-08-01 0:23,0,2025-07-15 11:07,0,1,0,357,2024-06-08,2021-02-12
25-Aug,6736776246033,5021591824830,2024-06-08,2022-07-31,64,온라인,N,불필요,Y,N,기간의 정함이 없는 근로계약,Y,일용,82,N,328,682,267,17283,91350,34076,45,78,32,56,0,61,재학,(2/4년제) 대학,N,37,Y,N,N,Y,N,Y,Y,Y,직업훈련,여,N,Y,N,478,42,71,40,74,243,17,52,329,78,95,25,10,25,58,CA,97005,시도 일치,N,40,1416,소분류 일치,중분류 일치,43,46,60,0.24,24,65,63,2023-11-14 11:05,2024-06-08 14:19,1,2020-12-04 10:52,1,0,1,917,2025-06-16,2022-02-20
22-Mar,4599897178289,3828916232444,2021-05-06,2022-03-15,97,온라인,N,필요,Y,Y,기간의 정함이 없는 근로계약,N,상용,39,N,647,849,162,19738,16997,83126,20,88,6,4,41,7,중퇴,4년제 대학,Y,3,Y,Y,Y,N,Y,Y,N,Y,직업훈련,남,N,N,Y,504,93,88,49,6,52,44,57,228,43,51,37,3,55,22,CA,64189,시도 일치,N,42,5014,소분류 일치,소분류 일치,71,97,45,0.422,3,49,13,2022-03-21 23:26,2020-04-13 23:16,1,2025-02-07 16:28,1,1,0,848,2022-05-20,2021-03-30
20-Jun,2262416409453,6902840898576,2020-08-04,2022-05-23,82,온라인,N,필요,Y,N,기간의 정함이 없는 근로계약,N,일용,1,Y,402,817,227,13974,19589,14592,33,95,91,77,62,46,재학,고등학교,Y,68,Y,Y,N,N,Y,N,Y,N,직업훈련,여,N,Y,N,433,46,37,23,35,69,92,43,228,86,0,34,75,92,42,IS,49738,시도 일치,N,57,4034,중분류 일치,대분류 일치,29,44,51,0.701,35,27,90,2024-12-17 17:43,2022-06-03 0:34,0,2024-01-29 9:28,0,1,1,674,2025-03-09,2021-03-30
22-Aug,4481122855444,2673545598890,2022-02-20,2025-02-06,75,온라인,Y,불필요,Y,N,기간제근로계약,Y,상용,98,Y,200,269,944,91012,94459,22224,88,30,58,12,7,9,재학,고등학교,Y,34,Y,Y,Y,Y,Y,Y,Y,N,직업훈련,남,Y,Y,N,167,81,34,78,43,242,35,100,170,54,90,64,12,0,74,CA,43853,시군구 일치,N,3,,대분류 일치,대분류 일치,90,49,35,0.444,75,52,80,2025-02-15 11:57,2023-08-19 19:04,0,2024-12-27 23:27,1,0,1,356,2025-04-20,2022-10-15
21-Oct,3836546898498,1519624275879,2023-12-20,2022-04-16,24,오프라인,N,필요,N,N,파견근로계약,N,일용,45,Y,928,490,165,15597,76153,71802,51,53,2,41,13,13,중퇴,(2/4년제) 대학,N,64,Y,Y,N,Y,N,N,Y,Y,구직급여,여,Y,N,N,498,74,3,50,21,118,95,64,154,92,59,70,99,59,69,CA,50456,시군구 일치,Y,97,,소분류 일치,대분류 일치,15,100,69,0.723,22,85,94,2022-04-24 17:59,2022-05-30 3:08,1,2021-04-23 7:06,0,0,0,421,2025-05-07,2022-10-22
22-Oct,6500413597057,3970933942058,2021-06-20,2021-06-14,91,고용24,N,불필요,N,N,파견근로계약,Y,상용,2,Y,673,826,244,96902,44393,56796,44,41,31,43,37,40,재학,4년제 대학,Y,86,N,Y,Y,N,N,N,N,Y,취업알선,남,N,N,N,209,75,42,96,60,33,55,5,192,40,15,18,0,97,62,IS,46047,시군구 일치,Y,66,,소분류 일치,대분류 일치,4,19,53,0.027,74,35,91,2021-03-20 11:04,2024-10-28 20:49,1,2025-07-31 13:04,1,0,0,428,2023-01-29,2020-01-13
25-Apr,6021240702329,9707717771818,2022-06-22,2024-09-16,39,온라인,N,필요,Y,N,기간제근로계약,N,상용,20,Y,552,774,954,28770,86018,52501,70,27,35,10,84,78,재학,4년제 대학,Y,39,Y,Y,N,Y,Y,Y,Y,N,구직급여,남,N,Y,Y,486,40,44,52,37,30,66,11,164,70,15,36,59,53,8,CA,22487,시군구 일치,N,24,9130,대분류 일치,대분류 일치,76,8,5,0.806,59,64,23,2021-07-26 9:44,2023-02-20 20:04,1,2021-11-16 4:55,1,1,0,273,2022-10-02,2020-06-10
25-Jul,1987733344765,6077390690611,2022-04-28,2022-03-22,34,온라인,Y,필요,Y,Y,기간제근로계약,N,일용,61,Y,127,472,874,92164,44688,81107,72,61,10,97,47,79,재학,(2/4년제) 대학,N,0,N,N,Y,Y,Y,Y,Y,N,취업알선,여,Y,Y,N,315,91,30,62,85,339,21,49,317,53,20,56,18,53,17,IS,24041,시도 일치,N,30,7869,소분류 일치,중분류 일치,24,19,36,0.985,69,57,70,2020-02-10 6:23,2020-08-31 17:38,1,2022-10-12 15:13,1,0,0,116,2022-05-22,2021-05-17
