CLOS_YM,JHNT_MBN,JHNT_CTN,JHCR_DE,JHNT_CLOS_DE,FRFT_AFTR_JHNT_REQR_DYCT,JHNT_RQUT_CHNL_SECD,INFO_OTPB_GRAD_CD,MDTN_HOPE_GRD_CD,IDIF_AOFR_YN,EMAIL_RCYN,EMPL_STLE_CD,DSPT_LABR_YN,COMM_WAGE_TYCD,HOPE_WAGE_SM_AMT,AFIV_RDJT_PSBL_YN,HOPE_JSCD1,HOPE_JSCD2,HOPE_JSCD3,HPAR_CD1,HPAR_CD2,HPAR_CD3,CYC1,CARR_MYCT1,CYC2,CARR_MYCT2,CYC3,CARR_MYCT3,ACCR_STCD,ACCR_CD,DRV_PSBL_YN,AGE,SAEIL_CNTC_AGRE_YN,SHRS_IDIF_AOFR_YN,SULC_IDIF_AOFR_YN,IDIF_IQRY_AGRE_YN,DLY_LABR_HOPE_YN,RQAG_HOPE_YN,SHSY_YN,MDTN_HOPE_YN,JHNT_PPOS_CD,SXDS_CD,SMS_RCYN,EMAIL_OTPB_YN,MPNO_OTPB_YN,MAJR_CD1,BFR_WTM6_JHCR_CT,BFR_UEPS_RECP_CT,UEPS_RECP_YN,BFR_EJAP_CT,SFID_WRTN_AFTR_ELPS_DYCT,SFID_IEM_NUM,SFID_LTTR_NUM,BFR_PSIS_ELPS_DYCT,BFR_RLTY_SNSC,BFR_IVTG_SNSC,BFR_ARTY_SNSC,BFR_SCTY_SNSC,BFR_EPTY_SNSC,BFR_CSTP_SNSC,BFR_INTS_CD2,AREA_CD,HPAR_CSCY_SCOR,BFR_OCTR_YN,BFR_OCTR_CT,KECO_CD1,OCTR_HOPE_JSFC_CSCY_SCOR1,OCTR_HOPE_JSFC_CSCY_SCOR2,IPS_IRDS_NMPR,JBHT_NMPR,RCIT_NMPR,JO_DRNG_RATE,AVG_OTIO_MYAV_RMNT_AMT,AVG_HOPE_WAGE_SM_AMT,CRQF_CT,ETL_DT,MAKE_DT,ACQ_180_YN,ACQ_DT,MATCH_L_YN,MATCH_M_YN,MATCH_S_YN,LAST_JSCD,EMPN_DE,LAST_FRFT_DE
45,497459,121204,83,95,48,온라인,1,필요,1,1,6,1,상용,27,1,989,717,242,50910,58546,36020,66,99,99,70,65,84,중퇴,4년제 대학,0,12,1,1,1,0,0,0,0,0,구직급여,남,0,1,0,257,99,15,94,93,44,89,52,10,66,83,76,6,30,69,CA,96641,시도 일치,0,24,8836,대분류 일치,중분류 일치,54,10,6,0.651,29,69,39,11,47,0,16,1,0,1,736,57,71
100,302908,193204,68,42,49,오프라인,0,필요,0,1,64,1,상용,75,0,827,274,201,30864,91292,73245,66,4,94,82,44,75,중퇴,(2/4년제) 대학,0,11,1,1,1,1,0,0,0,0,직업훈련,여,0,1,1,256,67,80,29,20,63,70,76,302,14,19,7,34,73,21,CA,60102,시도 일치,1,55,9835,대분류 일치,소분류 일치,23,73,39,0.058,11,36,65,35,79,0,78,1,0,1,581,43,31
100,529071,220399,46,6,39,고용24,1,불필요,0,0,82,1,상용,60,1,604,704,561,68831,15200,13274,49,8,4,63,13,64,졸업,4년제 대학,0,92,1,0,0,1,1,1,1,0,구직급여,남,1,0,1,619,64,87,69,89,110,64,99,12,6,91,93,76,20,70,CA,11191,시군구 일치,0,54,2771,중분류 일치,대분류 일치,82,68,7,0.414,25,23,62,49,32,0,35,0,1,1,761,28,30
38,910176,315822,81,32,94,고용24,0,불필요,0,0,36,1,상용,9,0,248,722,164,52562,53121,17379,2,58,83,61,66,4,졸업,고등학교,0,59,1,0,0,1,1,1,0,1,구직급여,남,1,0,0,607,14,44,61,97,228,55,7,22,37,12,11,44,96,83,IS,17818,시군구 일치,1,32,8278,소분류 일치,중분류 일치,68,25,11,0.565,38,71,78,44,80,0,38,1,1,0,614,75,27
96,322722,900252,9,91,20,온라인,0,필요,0,0,8,0,상용,28,1,434,256,632,36453,57774,95408,41,44,96,32,68,74,졸업,고등학교,0,34,0,1,1,0,0,0,0,0,구직급여,남,1,0,0,771,83,19,52,21,343,33,83,203,83,65,28,0,44,88,CA,26691,시군구 일치,0,57,6644,대분류 일치,대분류 일치,75,78,49,0.459,36,29,40,51,41,0,88,1,1,0,867,78,45
83,390522,887699,54,70,46,온라인,0,불필요,1,0,71,0,일용,16,1,114,965,569,52693,96879,94456,93,20,9,42,67,22,중퇴,고등학교,0,4,0,0,0,0,0,0,1,1,취업알선,여,1,1,1,450,99,26,25,48,11,52,0,317,52,83,85,6,58,69,CA,59085,시군구 일치,1,72,8218,대분류 일치,소분류 일치,57,2,84,0.445,85,88,13,73,38,0,81,1,1,0,398,21,32
64,691435,695274,45,70,79,고용24,1,불필요,0,1,81,1,일용,83,0,548,222,781,92251,50112,75900,6,77,47,86,35,82,재학,(2/4년제) 대학,1,66,1,0,1,0,0,1,1,1,구직급여,남,0,1,1,713,99,46,32,46,173,62,14,180,77,42,5,94,64,63,IS,69772,시도 일치,0,15,1475,중분류 일치,소분류 일치,38,100,31,0.997,19,39,85,29,27,0,34,0,0,1,561,58,0
84,396610,828107,69,3,47,온라인,0,불필요,1,0,85,0,상용,50,1,264,502,944,91368,42175,38004,3,32,23,90,97,46,졸업,4년제 대학,1,52,1,1,0,0,0,0,0,1,직업훈련,남,1,0,1,554,69,48,76,82,211,41,71,312,27,19,54,2,82,99,CA,45908,시도 일치,1,30,4368,소분류 일치,소분류 일치,9,16,89,0.08,44,38,70,65,18,1,36,1,1,0,596,49,75
77,103119,546304,69,11,87,오프라인,0,필요,1,0,38,0,일용,0,1,631,455,509,66044,79629,13911,88,99,15,99,58,39,재학,(2/4년제) 대학,1,16,0,0,1,1,0,0,0,0,취업알선,여,0,1,0,173,37,72,35,19,124,50,35,349,27,97,69,46,53,41,IS,47138,시도 일치,0,15,2561,중분류 일치,대분류 일치,2,97,52,0.9,20,79,66,66,78,0,19,1,1,0,972,46,54
98,741829,618954,10,83,78,온라인,0,불필요,0,0,47,0,상용,40,0,832,688,328,68285,26741,17283,91,27,45,78,32,56,졸업,고등학교,1,86,0,1,1,0,0,1,0,1,취업알선,남,0,0,0,313,80,42,42,71,145,74,67,61,52,91,78,95,25,10,IS,61835,시군구 일치,0,23,6167,중분류 일치,대분류 일치,73,61,43,0.732,70,76,24,65,63,0,46,0,0,1,245,45,5
