CLOS_YM,JHNT_MBN,JHNT_CTN,JHCR_DE,JHNT_CLOS_DE,FRFT_AFTR_JHNT_REQR_DYCT,JHNT_RQUT_CHNL_SECD,INFO_OTPB_GRAD_CD,MDTN_HOPE_GRD_CD,IDIF_AOFR_YN,EMAIL_RCYN,EMPL_STLE_CD,DSPT_LABR_YN,COMM_WAGE_TYCD,HOPE_WAGE_SM_AMT,AFIV_RDJT_PSBL_YN,HOPE_JSCD1,HOPE_JSCD2,HOPE_JSCD3,HPAR_CD1,HPAR_CD2,HPAR_CD3,CYC1,CARR_MYCT1,CYC2,CARR_MYCT2,CYC3,CARR_MYCT3,ACCR_STCD,ACCR_CD,DRV_PSBL_YN,AGE,SAEIL_CNTC_AGRE_YN,SHRS_IDIF_AOFR_YN,SULC_IDIF_AOFR_YN,IDIF_IQRY_AGRE_YN,DLY_LABR_HOPE_YN,RQAG_HOPE_YN,SHSY_YN,MDTN_HOPE_YN,JHNT_PPOS_CD,SXDS_CD,SMS_RCYN,EMAIL_OTPB_YN,MPNO_OTPB_YN,MAJR_CD1,BFR_WTM6_JHCR_CT,BFR_UEPS_RECP_CT,UEPS_RECP_YN,BFR_EJAP_CT,SFID_WRTN_AFTR_ELPS_DYCT,SFID_IEM_NUM,SFID_LTTR_NUM,BFR_PSIS_ELPS_DYCT,BFR_RLTY_SNSC,BFR_IVTG_SNSC,BFR_ARTY_SNSC,BFR_SCTY_SNSC,BFR_EPTY_SNSC,BFR_CSTP_SNSC,BFR_INTS_CD2,AREA_CD,HPAR_CSCY_SCOR,BFR_OCTR_YN,BFR_OCTR_CT,KECO_CD1,OCTR_HOPE_JSFC_CSCY_SCOR1,OCTR_HOPE_JSFC_CSCY_SCOR2,IPS_IRDS_NMPR,JBHT_NMPR,RCIT_NMPR,JO_DRNG_RATE,AVG_OTIO_MYAV_RMNT_AMT,AVG_HOPE_WAGE_SM_AMT,CRQF_CT,ETL_DT,MAKE_DT,ACQ_180_YN,ACQ_DT,MATCH_L_YN,MATCH_M_YN,MATCH_S_YN,LAST_JSCD,EMPN_DE,LAST_FRFT_DE
2022-07,3029086502262,7067002474198,2022-10-06,2022-10-07,9,온라인,예,필요,예,예,기간제근로계약,예,상용,99,아니요,242,509,585,36020,68843,98823,99,70,65,84,77,21,중퇴,4년제 대학,예,15,예,아니요,아니요,아니요,아니요,아니요,아니요,예,직업훈련,남,아니요,예,아니요,237,94,93,12,89,191,2,66,301,76,6,30,69,98,97,IS,86480,시도 일치,아니요,28,6429,중분류 일치,대분류 일치,6,27,59,0.109,39,11,47,2025-02-20 03:50:05,2021-02-20 13:51:58,1,2024-01-16 13:33:26,0,1,0,916,2025-01-29,2020-02-24
2025-09,9101760495288,8286707432733,2022-10-18,2021-01-27,68,온라인,아니요,필요,아니요,예,기간의 정함이 없는 근로계약,아니요,일용,81,예,201,308,912,73245,69435,13745,94,82,44,75,89,86,재학,4년제 대학,예,48,예,예,아니요,아니요,아니요,아니요,아니요,아니요,직업훈련,남,예,예,아니요,817,29,20,17,70,279,83,14,71,7,34,73,21,76,56,IS,26975,시군구 일치,아니요,11,8153,대분류 일치,소분류 일치,39,65,48,0.383,65,35,79,2024-04-19 18:39:54,2022-09-17 14:31:23,1,2023-01-21 10:18:23,1,0,0,808,2025-09-07,2020-03-13
2025-09,3905225049524,5835541269706,2022-03-24,2025-02-25,47,온라인,아니요,불필요,아니요,예,기간의 정함이 없는 근로계약,아니요,상용,56,아니요,561,688,152,13274,53756,17254,4,63,13,64,2,29,중퇴,(2/4년제) 대학,예,77,아니요,예,예,예,예,아니요,예,예,취업알선,여,예,아니요,아니요,878,69,89,30,64,362,3,6,333,93,76,20,70,81,1,CA,97640,시군구 일치,예,43,3129,소분류 일치,소분류 일치,7,71,6,0.849,62,49,32,2023-01-06 08:20:10,2024-03-14 07:24:16,1,2024-03-12 06:44:54,1,0,0,495,2024-08-03,2021-02-07
2022-03,3966103307650,7171580824320,2025-05-09,2024-01-26,84,고용24,아니요,불필요,예,예,기간제근로계약,예,일용,16,아니요,164,525,531,17379,12003,61918,83,61,66,4,14,41,중퇴,고등학교,예,90,아니요,예,예,예,아니요,예,예,예,구직급여,여,아니요,아니요,예,498,61,97,63,55,27,6,37,45,11,44,96,83,37,8,CA,31794,시도 일치,아니요,88,4771,소분류 일치,대분류 일치,11,5,2,0.438,78,44,80,2023-03-14 09:04:07,2022-01-22 06:09:27,0,2023-04-07 17:50:55,1,1,1,857,2024-05-11,2021-03-24
2025-06,7418294557610,1901091971474,2021-03-01,2022-05-23,87,오프라인,아니요,불필요,예,아니요,기간의 정함이 없는 근로계약,예,상용,37,예,632,364,577,95408,46938,49694,96,32,68,74,21,55,재학,고등학교,아니요,39,예,아니요,아니요,아니요,아니요,아니요,아니요,예,구직급여,여,아니요,아니요,아니요,271,52,21,94,33,301,56,83,238,28,0,44,88,97,18,CA,65447,시군구 일치,아니요,26,1038,소분류 일치,소분류 일치,49,24,90,0.693,40,51,41,2022-12-05 20:55:27,2022-06-23 01:56:44,0,2024-11-14 18:35:38,1,1,1,235,2025-08-29,2024-05-13
2024-10,7780841496982,3734886509281,2022-08-22,2022-03-26,78,고용24,예,불필요,아니요,아니요,파견근로계약,예,상용,1,아니요,569,526,968,94456,93517,28583,9,42,67,22,90,43,중퇴,4년제 대학,아니요,74,아니요,아니요,아니요,아니요,예,예,예,아니요,구직급여,남,예,예,아니요,335,25,48,3,52,2,87,52,304,85,6,58,69,84,55,CA,48705,시군구 일치,아니요,32,9148,중분류 일치,대분류 일치,84,41,24,0.681,13,73,38,2024-04-15 19:28:18,2021-07-05 01:44:14,0,2021-11-22 05:12:34,1,1,0,514,2024-03-05,2022-11-03
2023-09,9719018214331,7227521460324,2024-06-22,2025-09-10,2,고용24,아니요,필요,아니요,예,파견근로계약,아니요,일용,50,예,781,922,501,75900,16109,78826,47,86,35,82,48,95,졸업,고등학교,예,95,예,아니요,아니요,예,예,예,아니요,예,직업훈련,남,예,아니요,아니요,514,32,46,47,62,53,49,77,153,5,94,64,63,4,67,IS,94731,시도 일치,예,54,9272,중분류 일치,소분류 일치,31,80,85,0.387,85,29,27,2023-08-22 08:07:04,2024-01-29 20:13:37,1,2022-12-04 13:49:24,1,1,1,648,2020-09-27,2021-03-06
2024-10,9597684514799,5261657241320,2022-09-11,2022-01-25,97,고용24,예,불필요,아니요,아니요,기간제근로계약,아니요,상용,18,예,944,913,421,38004,13491,39046,23,90,97,46,26,1,재학,고등학교,예,49,아니요,아니요,아니요,아니요,아니요,예,아니요,예,취업알선,여,예,아니요,아니요,528,76,82,58,41,257,86,27,70,54,2,82,99,96,40,IS,45433,시도 일치,예,80,7126,대분류 일치,대분류 일치,89,57,75,0.547,70,65,18,2021-03-24 08:43:07,2020-04-13 05:31:09,0,2023-02-25 11:42:27,0,1,1,651,2023-07-24,2022-04-14
2024-05,9379669513277,7358900728146,2024-12-08,2020-12-06,82,오프라인,예,불필요,예,아니요,파견근로계약,예,상용,59,예,509,660,796,13911,88618,98235,15,99,58,39,65,88,재학,4년제 대학,아니요,50,예,예,아니요,아니요,아니요,아니요,예,아니요,직업훈련,남,아니요,예,예,749,35,19,34,50,130,96,27,352,69,46,53,41,8,41,IS,79975,시도 일치,예,39,2142,대분류 일치,소분류 일치,52,29,29,0.711,66,66,78,2023-05-29 04:37:30,2021-08-01 00:23:56,0,2025-07-15 11:07:03,0,1,0,357,2024-06-08,2021-02-12
2025-08,6736776246033,5021591824830,2024-06-08,2022-07-31,64,온라인,아니요,불필요,예,아니요,기간의 정함이 없는 근로계약,예,일용,82,아니요,328,682,267,17283,91350,34076,45,78,32,56,0,61,재학,(2/4년제) 대학,아니요,37,예,아니요,아니요,예,아니요,예,예,예,직업훈련,여,아니요,예,아니요,478,42,71,40,74,243,17,52,329,78,95,25,10,25,58,CA,97005,시도 일치,아니요,40,1416,소분류 일치,중분류 일치,43,46,60,0.24,24,65,63,2023-11-14 11:05:12,2024-06-08 14:19:02,1,2020-12-04 10:52:27,1,0,1,917,2025-06-16,2022-02-20
