소분류코드,소분류명,세분류명
011,의회의원·고위공무원 및 기업 고위임원,"['고위 공무원 및 정당·특수 단체 임원', '기업 대표 및 기업 고위 임원']"
012,행정·경영·금융·보험 관리자,"['경영 지원 관리자', '마케팅 및 광고·홍보 관리자', '금융 및 보험 관리자']"
013,전문서비스 관리자,"['교육 관리자', '법률·경찰·소방 및 교도 관리자', '보건 의료 관련 관리자', '사회복지 관련 관리자', '문화·예술 관련 관리자', '정보 통신 관련 관리자', '기타 전문 서비스 관리자']"
014,미용·여행·숙박·음식·경비·청소 관리자,"['음식 서비스 관련 관리자', '환경·청소 및 경비 관련 관리자']"
015,영업·판매·운송 관리자,"['운송 관련 관리자', '기타 판매 및 고객 서비스 관리자']"
016,건설·채굴·제조·생산 관리자,"['전기·가스 및 수도 관련 관리자', '제품 생산 관련 관리자', '기타 건설·전기 및 생산 관련 관리자']"
021,정부행정 전문가 및 관련 종사자,['행정사']
022,경영·인사 전문가,['인사 및 노사 관련 전문가']
023,회계·세무·감정 전문가,"['세무사', '관세사', '감정 관련 전문가']"
024,광고·조사·상품기획·행사기획 전문가,"['조사 전문가', '상품 기획 전문가', '행사·전시 및 회의 기획자']"
025,정부행정 사무원,"['관세 행정 사무원', '병무 행정 사무원', '기타 정부 행정 사무원']"
026,경영지원 사무원,"['영업 및 마케팅 사무원', '인사 및 노무 사무원', '교육 및 훈련 사무원', '총무 사무원 및 대학 행정조교', '감사 사무원']"
027,회계·경리 사무원,['경리 사무원']
028,무역·운송·생산·품질 사무원,"['도로 및 철도운송 사무원', '수상 및 항공운송 사무원', '자재관리 사무원', '생산 및 품질관리 사무원', '기타 운송 및 무역 사무원']"
029,안내·고객상담·통계·비서 및 기타 사무원,"['고객 상담 및 모니터 요원', '통계·데이터 관련 사무원', '비서', '전산 자료 입력원', '속기사', '자원봉사 관리원', '기타 사무 지원 종사원']"
031,금융·보험 전문가,"['자산 운용가', '금융 및 보험 상품 개발자', '증권 및 외환 딜러', '손해 사정사', '기타 금융 및 보험 관련 전문가']"
032,금융·보험 사무원,"['증권 사무원', '보험 심사원 및 사무원', '출납 창구 사무원', '수금원 및 신용 추심원', '기타 금융 사무원']"
033,금융·보험 영업원,['보험 모집인 및 투자 권유 대행인']
110,인문·사회과학 연구원,['사회과학 연구원']
121,자연과학 연구원 및 시험원,['자연과학 시험원']
122,생명과학 연구원 및 시험원,"['생명과학 시험원', '농림어업 관련 시험원']"
131,컴퓨터하드웨어·통신공학 기술자,['통신공학 기술자 및 연구원']
133,소프트웨어 개발자,"['응용 소프트웨어 개발자', '웹 개발자', '기타 컴퓨터 시스템 및 소프트웨어 전문가']"
134,네트워크 시스템 개발자 및 정보보안 전문가,"['정보 보안 전문가', '기타 네트워크 및 정보 보안 전문가']"
135,데이터 전문가,['데이터 분석가']
136,정보시스템 및 웹 운영자,['웹 운영자']
140,건축·토목공학 기술자 및 시험원,"['건축공학 기술자', '토목공학 기술자', '조경 기술자', '도시 및 교통 관련 전문가', '측량 및 공간정보 전문가', '건설자재 시험원']"
151,기계·로봇공학 기술자 및 시험원,"['로봇공학 기술자 및 연구원', '기계 및 로봇공학 시험원']"
152,금속·재료공학 기술자 및 시험원,['금속 및 재료공학 시험원']
153,전기·전자공학 기술자 및 시험원,"['반도체공학 기술자 및 연구원', '전자공학 기술자 및 연구원', '전기 및 전자공학 시험원']"
154,화학공학 기술자 및 시험원,['화학공학 시험원']
155,에너지·환경공학 기술자 및 시험원,"['가스 및 에너지 시험원', '신재생에너지 기술자 및 연구원', '신재생에너지 시험원', '환경공학 기술자 및 연구원', '환경공학 시험원', '산업보건 및 산업환경 관리 기술자']"
156,섬유공학 기술자 및 시험원,['섬유공학 시험원']
157,식품공학 기술자 및 시험원,['식품공학 시험원']
158,소방·방재·산업안전·비파괴 기술자,"['방재 기술자 및 연구원', '소방·방재 및 산업안전 시험원', '산업안전 및 산업위험 관리 기술자']"
159,제도사 및 기타 공학 기술자 및 시험원,['기타 공학 관련 기술자 및 시험원']
211,대학 교수 및 강사,['대학 강사']
212,학교 교사,"['초등학교 교사', '특수교육 교사', '기타 교사']"
214,문리·기술·예능 강사,"['문리 강사', '정보통신기술 강사', '기술 및 기능계 강사', '간호조무 및 요양보호 강사', '자동차 운전 강사', '예능 강사', '학습·교구 관련 방문강사', '기타 문리·기술 및 예능 강사']"
215,장학관 및 기타 교육 종사자,"['대학 교육 조교', '교사보조 및 관련 종사원', '기타 교사보조 및 아동돌봄 종사원']"
221,법률 전문가,"['변호사', '법무사 및 집행관', '변리사', '기타 법률 전문가']"
231,사회복지사 및 상담사,"['상담 전문가', '청소년 지도사', '직업 관련 상담사', '시민사회 활동가']"
232,보육교사 및 기타 사회복지 종사자,"['보육 관련 시설 돌봄 종사원', '기타 사회복지 전문가 및 관련 종사원']"
233,성직자 및 기타 종교 종사자,['기타 종교 관련 종사원']
240,"경찰관, 소방관 및 교도관","['소방관', '소년원 학교 교사 및 교도관']"
250,군인,"['위관급 장교', '준사관', '부사관', '기타 군인']"
301,"의사, 한의사 및 치과의사","['일반 의사', '한의사', '치과의사']"
303,약사 및 한약사,['한약사']
306,의료기사·치료사·재활사,"['방사선사', '치과기공사', '치과위생사', '물리 및 작업 치료사', '임상심리사', '재활공학 기사', '언어 및 청각능력 재활사', '기타 치료·재활사 및 의료기사']"
307,보건·의료 종사자,"['위생사', '안경사', '보건의료정보 관리사', '간호조무사', '환자안전 관리사', '수의사 보조원', '안마사', '기타 돌봄 및 보건 서비스 종사원']"
411,작가·통번역가,"['번역가 및 통역가', '출판물 전문가']"
413,학예사·사서·기록물관리사,['사서 및 기록물관리사']
414,"창작·공연 전문가(작가, 연극 제외)","['사진기자 및 사진사', '만화가 및 만화영화 작가', '국악 및 전통 예능인', '지휘자·작곡가 및 연주가', '가수 및 성악가', '무용가 및 안무가', '기타 시각 및 공연 예술가']"
415,디자이너,"['패션 디자이너', '실내장식 디자이너', '시각 디자이너', '미디어 콘텐츠 디자이너']"
416,연극·영화·방송 전문가,"['배우 및 모델', '아나운서 및 리포터', '촬영기사', '음향 및 녹음 기사', '영상·녹화 및 편집 기사', '조명기사 및 영사기사', '미디어 콘텐츠 창작자', '기타 연극·영화 및 영상 관련 종사원']"
417,문화·예술 기획자 및 매니저,"['영화 및 음반 기획자', '연예인 및 스포츠 매니저']"
420,스포츠·레크리에이션 종사자,"['직업 운동선수', '경기 심판 및 경기 기록원', '스포츠 강사 및 트레이너', '기타 스포츠 및 레크리에이션 관련 전문가', '기타 여가 서비스 종사원']"
511,미용 서비스원,"['미용사', '네일 관리사', '피부 및 체형 관리사', '메이크업 아티스트 및 분장사', '기타 미용 관련 서비스 종사원']"
512,결혼·장례 등 예식 서비스원,"['혼례 종사원', '장례 지도사 및 장례 상담원', '점술가 및 민속신앙 종사원', '기타 개인 생활 서비스 종사원']"
513,반려동물 서비스원,['반려동물 관리 종사원']
521,여행 서비스원,"['여행 사무원', '관광 서비스 종사원']"
522,항공기·선박·열차 객실승무원,['선박 및 열차 객실 승무원']
531,주방장 및 조리사,"['한식 조리사', '중식 조리사', '양식 조리사', '일식 조리사', '바텐더', '음료 조리원', '단체급식 조리사', '기타 조리사']"
532,식당 서비스원,"['식음료 서비스 종사원', '주방 보조원', '기타 식음료 서비스 종사원']"
541,경호·보안 종사자,"['청원경찰', '시설 및 특수 경비원', '보안 관제원', '기타 경호 및 보안 관련 종사원']"
550,돌봄 서비스 종사자,"['간병인', '노인 돌봄 종사원', '장애인 돌봄 종사원', '육아 도우미']"
561,청소 종사자,"['운송 및 시설장비 청소원', '거리 및 공공장소 청소원', '재활용품 및 쓰레기 수거원', '기타 청소 관련 종사원']"
562,세정원 및 방역원,['방역원']
563,가사 서비스원,"['세탁원 및 다림질원', '가사 도우미']"
564,검침·주차관리 및 기타 서비스 단순 종사자,"['자동판매기 관리원', '주차 관리원 및 안내원', '검표원', '대여 제품 방문 점검원', '기타 서비스 관련 단순 종사원']"
612,기술·해외 영업원 및 상품중개인,"['해외 영업원', '상품중개인 및 경매사', '기타 기술 영업 및 중개 관련 종사원']"
613,자동차 및 제품 영업원,"['제품 영업원', '기타 영업원']"
615,판매 종사자,"['상점 판매원', '단말기 및 통신 서비스 판매원', '온라인 쇼핑 판매원', '상품 대여원', '노점 및 이동 판매원', '방문 판매원', '주유원']"
616,매장 계산원 및 매표원,['매표원 및 복권 판매원']
617,판촉 및 기타 판매 단순 종사자,['기타 판매 관련 단순 종사원']
621,항공기·선박·철도 조종사 및 관제사,"['선장 및 항해사·도선사', '철도 및 전동차 기관사', '관제사', '철도운송 관련 종사원']"
622,자동차 운전원,"['버스 운전원', '화물차 및 특수차 운전원', '기타 자동차 운전원']"
624,택배원 및 기타 운송 종사자,"['늘찬배달원', '우편집배원', '선박 승무원 및 관련 종사원', '하역 및 적재 단순 종사원', '화물 분류원', '정기배달원', '기타 배달원']"
701,건설구조 기능원,"['경량 철골공', '철근공', '콘크리트공', '건축 석공', '건축 목공', '조적공 및 석재 부설원', '기타 건설 관련 기능 종사원']"
702,건축마감 기능원,"['방수공', '단열공', '바닥재 시공원', '도배공 및 유리 부착원', '건축 도장공', '새시 조립 및 설치원', '기타 건축 마감 관련 기능 종사원']"
703,배관공,"['공업 배관공', '기타 배관공']"
705,기타 건설 기능원(채굴포함),"['철로 설치 및 보수원', '기타 채굴 및 토목 관련 종사원']"
811,기계장비 설치·정비원(운송장비 제외),"['공업기계 설치 및 정비원', '승강기 설치 및 정비원', '물품 이동 장비 설치 및 정비원', '냉동·냉장·공조기 설치 및 정비원', '보일러 설치 및 정비원', '건설·광업기계 설치 및 정비원', '농업용·기타 기계장비 설치 및 정비원']"
812,운송장비 정비원,"['선박 정비원', '철도 기관차 및 전동차 정비원', '자동차 정비원', '기타 운송장비 정비원']"
813,금형원 및 공작기계 조작원,['금속 공작기계 조작원']
816,기계 조립원(운송장비 제외),['기계 부품 조립원']
817,운송장비 조립원,"['자동차 부품 조립원', '운송장비 조립원']"
