CLOS_YM,JHNT_MBN,JHNT_CTN,JHCR_DE,JHNT_CLOS_DE,FRFT_AFTR_JHNT_REQR_DYCT,JHNT_RQUT_CHNL_SECD,INFO_OTPB_GRAD_CD,MDTN_HOPE_GRD_CD,IDIF_AOFR_YN,EMAIL_RCYN,EMPL_STLE_CD,DSPT_LABR_YN,COMM_WAGE_TYCD,HOPE_WAGE_SM_AMT,AFIV_RDJT_PSBL_YN,HOPE_JSCD1,HOPE_JSCD2,HOPE_JSCD3,HPAR_CD1,HPAR_CD2,HPAR_CD3,CYC1,CARR_MYCT1,CYC2,CARR_MYCT2,CYC3,CARR_MYCT3,ACCR_STCD,ACCR_CD,DRV_PSBL_YN,AGE,SAEIL_CNTC_AGRE_YN,SHRS_IDIF_AOFR_YN,SULC_IDIF_AOFR_YN,IDIF_IQRY_AGRE_YN,DLY_LABR_HOPE_YN,RQAG_HOPE_YN,SHSY_YN,MDTN_HOPE_YN,JHNT_PPOS_CD,SXDS_CD,SMS_RCYN,EMAIL_OTPB_YN,MPNO_OTPB_YN,MAJR_CD1,BFR_WTM6_JHCR_CT,BFR_UEPS_RECP_CT,UEPS_RECP_YN,BFR_EJAP_CT,SFID_WRTN_AFTR_ELPS_DYCT,SFID_IEM_NUM,SFID_LTTR_NUM,BFR_PSIS_ELPS_DYCT,BFR_RLTY_SNSC,BFR_IVTG_SNSC,BFR_ARTY_SNSC,BFR_SCTY_SNSC,BFR_EPTY_SNSC,BFR_CSTP_SNSC,BFR_INTS_CD2,AREA_CD,HPAR_CSCY_SCOR,BFR_OCTR_YN,BFR_OCTR_CT,KECO_CD1,OCTR_HOPE_JSFC_CSCY_SCOR1,OCTR_HOPE_JSFC_CSCY_SCOR2,IPS_IRDS_NMPR,JBHT_NMPR,RCIT_NMPR,JO_DRNG_RATE,AVG_OTIO_MYAV_RMNT_AMT,AVG_HOPE_WAGE_SM_AMT,CRQF_CT,ETL_DT,MAKE_DT,ACQ_180_YN,ACQ_DT,MATCH_L_YN,MATCH_M_YN,MATCH_S_YN,LAST_JSCD,EMPN_DE,LAST_FRFT_DE
202503,W10001,C10001,2025-01-15,2025-07-14,10,온라인,예,필요,예,예,"기간의 정함이 없는 근로계약",아니요,상용,38000000,예,0111,0112,,11010,,,3,6,1,0,0,0,졸업,4년제 대학,예,28,아니요,아니요,아니요,예,아니요,예,아니요,예,구직급여,여,예,예,아니요,0801,0,1,1,5,15,4,1850,250,55,62,45,58,60,51,SA,11010,"시군구 일치",예,1,2142,"중분류 일치",불일치,150,80,120,1.50,36000000,37500000,2,"2025-03-01 09:00:00","2025-03-01 10:00:00",1,88.0,1.0,1.0,0.0,214,2025-04-13,
202503,W10002,C10002,2025-01-20,2025-07-19,3,고용24,예,필요,예,예,"기간의 정함이 없는 근로계약",아니요,상용,55000000,예,0242,0243,,41111,,,8,2,0,0,0,0,졸업,대학원,예,35,아니요,아니요,아니요,예,아니요,예,예,예,취업알선,남,예,예,예,0402,1,0,0,12,5,5,2500,90,60,55,48,65,68,50,EC,41111,"시군구 일치",예,2,2431,"대분류 일치","중분류 일치",80,150,100,0.67,58000000,56000000,3,"2025-03-01 09:00:00","2025-03-01 10:00:00",0,,,,,,,
202503,W10003,C10003,2025-02-01,2025-07-31,25,오프라인,아니요,불필요,아니요,아니요,일용근로,예,일용,30000000,아니요,1511,,,26010,,,0,8,0,0,0,0,졸업,고등학교,아니요,48,예,아니요,아니요,아니요,예,아니요,아니요,아니요,기타,남,아니요,아니요,아니요,,0,2,1,1,300,3,1200,,45,40,55,50,42,48,AS,26020,"시도 일치",아니요,0,,불일치,불일치,-50,200,80,0.40,29000000,31000000,0,"2025-03-01 09:00:00","2025-03-01 10:00:00",1,25.0,1.0,0.0,0.0,561,2025-02-26,
202503,W10004,C10004,2025-02-05,2025-08-04,5,온라인,예,필요,예,예,"기간의 정함이 없는 근로계약",아니요,상용,32000000,예,0814,0815,,11020,11010,,2,0,1,0,0,0,졸업,(2/3년제) 대학,예,24,예,예,아니요,예,아니요,예,아니요,예,구직급여,여,예,예,아니요,0703,1,1,1,8,10,4,2100,120,52,48,60,65,55,53,SE,11020,"시군구 일치",예,1,8151,"소분류 일치","대분류 일치",120,100,130,1.30,31000000,33000000,1,"2025-03-01 09:00:00","2025-03-01 10:00:00",1,150.0,1.0,1.0,1.0,815,2025-07-05,
202503,W10005,C10005,2025-02-10,2025-08-09,15,고용24,예,필요,예,예,기간제,아니요,상용,42000000,예,0312,,,41130,,,5,5,0,0,0,0,졸업,4년제 대학,예,31,아니요,아니요,아니요,예,아니요,예,예,예,취업알선,남,예,예,예,0501,0,0,0,3,8,5,2800,,58,65,50,52,66,61,EC,41130,"시군구 일치",아니요,0,,불일치,불일치,90,120,110,0.92,43000000,42500000,1,"2025-03-01 09:00:00","2025-03-01 10:00:00",0,,,,,,,
202503,W10006,C10006,2025-01-08,2025-07-07,8,온라인,예,필요,예,예,"기간의 정함이 없는 근로계약",아니요,상용,62000000,예,0221,,,11030,,,12,1,0,0,0,0,졸업,대학원,예,39,아니요,아니요,아니요,예,아니요,예,아니요,예,취업알선,여,예,예,예,0401,2,0,0,15,3,6,3200,30,65,70,55,68,72,58,IC,11030,"시군구 일치",예,1,2211,"대분류 일치",불일치,200,90,180,2.00,60000000,61000000,4,"2025-03-01 09:00:00","2025-03-01 10:00:00",1,45.0,1.0,1.0,0.0,221,2025-02-22,
202503,W10007,C10007,2025-01-25,2025-07-24,30,오프라인,예,불필요,아니요,예,기간제,예,상용,35000000,아니요,0877,,,27010,,,4,0,0,0,0,0,중퇴,4년제 대학,예,26,예,아니요,아니요,예,예,아니요,예,아니요,기타,남,예,아니요,아니요,0701,0,0,0,2,250,3,1500,,48,45,60,62,50,55,SC,27010,"시군구 일치",아니요,0,,불일치,불일치,30,180,70,0.39,34000000,35500000,0,"2025-03-01 09:00:00","2025-03-01 10:00:00",0,,,,,,,
202503,W10008,C10008,2025-02-18,2025-08-17,2,고용24,예,필요,예,예,"기간의 정함이 없는 근로계약",아니요,상용,31000000,예,0731,,,41135,,,1,5,0,0,0,0,졸업,(2/3년제) 대학,예,23,아니요,아니요,아니요,예,아니요,예,아니요,예,구직급여,여,예,예,예,0302,1,1,1,10,9,5,2200,80,50,58,52,65,60,54,SE,41135,"시군구 일치",예,1,7311,"소분류 일치","중분류 일치",110,110,115,1.05,30000000,31500000,1,"2025-03-01 09:00:00","2025-03-01 10:00:00",1,175.0,1.0,1.0,1.0,731,2025-08-12,
202503,W10009,C10009,2025-02-22,2025-08-21,40,온라인,아니요,필요,예,아니요,일용근로,아니요,일용,33000000,예,1402,,,30110,,,15,0,0,0,0,0,졸업,고등학교,아니요,52,아니요,아니요,아니요,아니요,예,아니요,아니요,아니요,기타,남,아니요,아니요,아니요,,0,3,1,0,500,2,900,,40,38,45,42,35,40,RA,30110,"시군구 일치",아니요,0,,불일치,불일치,-80,250,60,0.24,32000000,33500000,0,"2025-03-01 09:00:00","2025-03-01 10:00:00",1,35.0,1.0,0.0,0.0,551,2025-03-29,
202503,W10010,C10010,2025-01-11,2025-07-10,12,고용24,예,필요,예,예,"기간의 정함이 없는 근로계약",아니요,상용,48000000,예,0321,0322,,11040,26010,,7,8,2,0,0,0,졸업,4년제 대학,예,33,예,예,아니요,예,아니요,예,예,예,취업알선,여,예,예,아니요,0502,0,0,0,7,12,5,2600,150,56,60,65,68,62,59,ES,11040,"시군구 일치",예,2,3211,"중분류 일치","대분류 일치",130,130,140,1.08,47000000,48500000,2,"2025-03-01 09:00:00","2025-03-01 10:00:00",0,,,,,,,
